userId	UserName	Room name	Chat messages	Time (PT)	Time (UTC)
31_2cce7ee3-1052-11e4-b281-22000ad2b690	فراس	ARAB_TQCWEPLPBA	'ارحب	2014-07-20 17:54:41	2014-07-21 00:54:41
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'اخوك	2014-07-21 02:04:46	2014-07-21 09:04:46
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'عندك مجلس القبيله	2014-07-21 17:18:26	2014-07-22 00:18:26
31_2cce7ee3-1052-11e4-b281-22000ad2b690	فراس	ARAB_TQCWEPLPBA	'العربي الووو	2014-07-20 17:54:52	2014-07-21 00:54:52
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'انت كم عمرك	2014-07-21 02:05:06	2014-07-21 09:05:06
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'مسندم	2014-07-21 17:18:38	2014-07-22 00:18:38
31_f4542ef9-0ed2-11e4-b281-22000ad2b690	فيصل٥١١	ARAB_TQCWEPLPBA	'السلام	2014-07-20 17:56:41	2014-07-21 00:56:41
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'سلطان	2014-07-21 02:05:14	2014-07-21 09:05:14
31_c9808e42-fb75-11e3-b281-22000ad2b690	عبدالله عباس	ARAB_TQCWEPLPBA	'هي	2014-07-21 17:18:39	2014-07-22 00:18:39
31_156d3c61-0490-11e4-b281-22000ad2b690	لمو	ARAB_TQCWEPLPBA	'ب افلت	2014-07-20 18:03:29	2014-07-21 01:03:29
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'١٣-رايح-١٤	2014-07-21 02:05:34	2014-07-21 09:05:34
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'بتيي معانا القبيله	2014-07-21 17:19:11	2014-07-22 00:19:11
31_156d3c61-0490-11e4-b281-22000ad2b690	لمو	ARAB_TQCWEPLPBA	'للللللل	2014-07-20 18:03:39	2014-07-21 01:03:39
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'اخوي عمره ١١	2014-07-21 02:05:50	2014-07-21 09:05:50
31_ebbf6bb5-be61-11e3-a92c-12313b09a242	الزير سالم	ARAB_TQCWEPLPBA	'عبدالله	2014-07-21 17:20:04	2014-07-22 00:20:04
31_2cce7ee3-1052-11e4-b281-22000ad2b690	فراس	ARAB_TQCWEPLPBA	'هلا	2014-07-20 18:04:25	2014-07-21 01:04:25
31_2d406100-099a-11e4-b281-22000ad2b690	خالد ٥٨٥	ARAB_TQCWEPLPBA	'أصلن اخوي ما يلعبه واجد	2014-07-21 02:06:08	2014-07-21 09:06:08
31_68c9fbd8-0d52-11e4-b281-22000ad2b690	عتيبه الهيلا	ARAB_TQCWEPLPBA	'ت	2014-07-21 17:24:16	2014-07-22 00:24:16
31_2cce7ee3-1052-11e4-b281-22000ad2b690	فراس	ARAB_TQCWEPLPBA	'ارررحب	2014-07-20 18:04:31	2014-07-21 01:04:31
31_2d38ba46-fcc2-11e3-b281-22000ad2b690	SL6AN	ARAB_TQCWEPLPBA	'وانت كم عمرك	2014-07-21 02:06:21	2014-07-21 09:06:21
31_195cd1aa-110e-11e4-b281-22000ad2b690	SALM199537	ARAB_TQCWEPLPBA	'السلام	2014-07-21 17:25:13	2014-07-22 00:25:13
