ServerIp	CCU	CreatedAt (in PT time)
54.75.238.163	1790	2014-09-07 16:56:58
54.75.238.163	1728	2014-09-07 17:01:25
54.75.238.163	1719	2014-09-07 17:05:51
54.75.238.163	1636	2014-09-07 17:10:29
54.75.238.163	1645	2014-09-07 17:13:22
54.75.238.163	1632	2014-09-07 17:15:57
54.75.238.163	1658	2014-09-07 17:18:24
54.75.238.163	1656	2014-09-07 17:21:00
54.75.238.163	1649	2014-09-07 17:24:46
54.75.238.163	1651	2014-09-07 17:27:32
54.75.238.163	1649	2014-09-07 17:30:06
54.75.238.163	1608	2014-09-07 17:32:53
54.75.238.163	1591	2014-09-07 17:35:38
54.75.238.163	1586	2014-09-07 17:38:25
54.75.238.163	1541	2014-09-07 17:41:10
54.75.238.163	1564	2014-09-07 17:44:06
54.75.238.163	1576	2014-09-07 17:46:29
54.75.238.163	1569	2014-09-07 17:48:59
54.75.238.163	1589	2014-09-07 17:51:27
54.75.238.163	1574	2014-09-07 17:54:01
54.75.238.163	1546	2014-09-07 17:56:42
54.75.238.163	1538	2014-09-07 18:00:37
54.75.238.163	1239	2014-09-07 18:07:00
54.75.238.163	1346	2014-09-07 18:09:37
54.75.238.163	1392	2014-09-07 18:12:16
54.75.238.163	1414	2014-09-07 18:15:13
54.75.238.163	1450	2014-09-07 18:17:35
54.75.238.163	1461	2014-09-07 18:20:08
54.75.238.163	1438	2014-09-07 18:22:34
54.75.238.163	1432	2014-09-07 18:25:03
54.75.238.163	1460	2014-09-07 18:28:56
54.75.238.163	1445	2014-09-07 18:31:32
54.75.238.163	1402	2014-09-07 18:34:14
54.75.238.163	1378	2014-09-07 18:36:47
54.75.238.163	1335	2014-09-07 18:40:47
54.75.238.163	1372	2014-09-07 18:43:26
54.75.238.163	1370	2014-09-07 18:47:47
54.75.238.163	1373	2014-09-07 18:50:08
54.75.238.163	1345	2014-09-07 18:52:39
54.75.238.163	1380	2014-09-07 18:55:01
54.75.238.163	1401	2014-09-07 18:57:27
54.75.238.163	1420	2014-09-07 19:00:04
54.75.238.163	1432	2014-09-07 19:02:35
54.75.238.163	1459	2014-09-07 19:05:14
54.75.238.163	1487	2014-09-07 19:07:51
54.75.238.163	1506	2014-09-07 19:10:37
54.75.238.163	1490	2014-09-07 19:13:16
54.75.238.163	1524	2014-09-07 19:16:10
54.75.238.163	1531	2014-09-07 19:19:00
54.75.238.163	1500	2014-09-07 19:21:29
54.75.238.163	1487	2014-09-07 19:23:54
54.75.238.163	1512	2014-09-07 19:27:24
54.75.238.163	1498	2014-09-07 19:29:59
54.75.238.163	1512	2014-09-07 19:32:28
54.75.238.163	1483	2014-09-07 19:35:08
54.75.238.163	1501	2014-09-07 19:37:43
54.75.238.163	1546	2014-09-07 19:40:28
54.75.238.163	1560	2014-09-07 19:43:10
54.75.238.163	1580	2014-09-07 19:46:02
54.75.238.163	1576	2014-09-07 19:50:27
54.75.238.163	1565	2014-09-07 19:52:56
54.75.238.163	1575	2014-09-07 19:55:22
54.75.238.163	1576	2014-09-07 19:57:52
54.75.238.163	1542	2014-09-07 20:00:31
54.75.238.163	1591	2014-09-07 20:03:04
54.75.238.163	1561	2014-09-07 20:05:47
54.75.238.163	1529	2014-09-07 20:08:25
54.75.238.163	1537	2014-09-07 20:12:34
54.75.238.163	1547	2014-09-07 20:15:13
54.75.238.163	1510	2014-09-07 20:19:35
54.75.238.163	1131	2014-09-07 20:23:52
54.75.238.163	1370	2014-09-07 20:26:19
54.75.238.163	1454	2014-09-07 20:28:42
54.75.238.163	1476	2014-09-07 20:31:12
54.75.238.163	1459	2014-09-07 20:33:45
54.75.238.163	1455	2014-09-07 20:36:18
54.75.238.163	1450	2014-09-07 20:40:19
54.75.238.163	1425	2014-09-07 20:42:51
54.75.238.163	1385	2014-09-07 20:45:33
54.75.238.163	1410	2014-09-07 20:48:10
54.75.238.163	1411	2014-09-07 20:50:55
54.75.238.163	1032	2014-09-07 20:57:31
54.75.238.163	1244	2014-09-07 20:59:57
54.75.238.163	1312	2014-09-07 21:02:18
54.75.238.163	1366	2014-09-07 21:04:42
54.75.238.163	1418	2014-09-07 21:07:15
54.75.238.163	1407	2014-09-07 21:09:45
54.75.238.163	1461	2014-09-07 21:13:40
54.75.238.163	1421	2014-09-07 21:16:11
54.75.238.163	1454	2014-09-07 21:20:20
54.75.238.163	1468	2014-09-07 21:22:57
54.75.238.163	1455	2014-09-07 21:25:43
54.75.238.163	1485	2014-09-07 21:30:05
54.75.238.163	1499	2014-09-07 21:32:32
54.75.238.163	1492	2014-09-07 21:34:55
54.75.238.163	1521	2014-09-07 21:37:22
54.75.238.163	1553	2014-09-07 21:41:14
54.75.238.163	1570	2014-09-07 21:43:48
54.75.238.163	1545	2014-09-07 21:46:33
54.75.238.163	1553	2014-09-07 21:49:10
54.75.238.163	1559	2014-09-07 21:51:56
54.75.238.163	1544	2014-09-07 21:54:38
54.75.238.163	1563	2014-09-07 21:57:28
54.75.238.163	1246	2014-09-07 22:03:55
54.75.238.163	1455	2014-09-07 22:06:24
54.75.238.163	1543	2014-09-07 22:08:49
54.75.238.163	1546	2014-09-07 22:11:25
54.75.238.163	1591	2014-09-07 22:14:03
54.75.238.163	1544	2014-09-07 22:16:34
54.75.238.163	1499	2014-09-07 22:19:20
54.75.238.163	1454	2014-09-07 22:21:55
54.75.238.163	1487	2014-09-07 22:26:13
54.75.238.163	1532	2014-09-07 22:30:29
54.75.238.163	1546	2014-09-07 22:35:06
54.75.238.163	1563	2014-09-07 22:37:30
54.75.238.163	1525	2014-09-07 22:40:01
54.75.238.163	1526	2014-09-07 22:42:29
54.75.238.163	1569	2014-09-07 22:44:59
54.75.238.163	1580	2014-09-07 22:47:43
54.75.238.163	1558	2014-09-07 22:50:19
54.75.238.163	1543	2014-09-07 22:53:04
54.75.238.163	1566	2014-09-07 22:55:46
54.75.238.163	1579	2014-09-07 22:58:34
54.75.238.163	1560	2014-09-07 23:01:21
54.75.238.163	1565	2014-09-07 23:05:57
54.75.238.163	1594	2014-09-07 23:08:19
54.75.238.163	1611	2014-09-07 23:10:53
54.75.238.163	1582	2014-09-07 23:13:21
54.75.238.163	1644	2014-09-07 23:16:01
54.75.238.163	1598	2014-09-07 23:18:34
54.75.238.163	1618	2014-09-07 23:22:42
54.75.238.163	1643	2014-09-07 23:25:25
54.75.238.163	1618	2014-09-07 23:29:46
54.75.238.163	1625	2014-09-07 23:32:32
54.75.238.163	1614	2014-09-07 23:35:25
54.75.238.163	1613	2014-09-07 23:39:56
54.75.238.163	1592	2014-09-07 23:42:27
54.75.238.163	1590	2014-09-07 23:44:50
54.75.238.163	1574	2014-09-07 23:47:20
54.75.238.163	1608	2014-09-07 23:49:58
54.75.238.163	1659	2014-09-07 23:52:34
54.75.238.163	1623	2014-09-07 23:55:18
54.75.238.163	1606	2014-09-07 23:57:55
