Global chat from 2014-04-01 00:00:00 -07:00 to 2014-04-07 23:59:59 -07:00 (GMT-07:00) Pacific Time (US & Canada)	Global chat
29_8b82223b-b5c8-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	قروش
31_a2f7049a-bd8a-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	من يريد الحرب
31_f8f658d3-bd0b-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	السلام عليكم
31_dec95928-baa4-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	ممكن مساعدة
31_dec95928-baa4-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	أشلون انضم إلى قبيلة 
31_cc5eb27f-bd83-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	مرحبااااا
31_cc5eb27f-bd83-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	فديت خركم
29_bf499a57-b4fd-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	hi
31_c54d775e-bb2e-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	سلام عليكم
31_f7e67dd4-bc62-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اريد المساعده
31_ad96a927-bdb8-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	اريد المساعده
31_ec517324-bdcf-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	هلا 
31_604a8035-bdeb-11e3-a92c-12313b09a242	ARAB_XYGMXSX7RM	الفزعه
29_1562ea4d-b14c-11e3-99ce-22000ad02fa9	ENG_6WIO6SD9KV	هلا بالشباب
29_5a92bde6-ad83-11e3-99ce-22000ad02fa9	ENG_DV8REFQL38	hi
29_0e0ffea3-b1e3-11e3-99ce-22000ad02fa9	ENG_F4FK72MYET	هلا
29_c5a6d9c3-b4a0-11e3-a92c-12313b09a242	ENG_IXHCGJINN1	ههه
29_1562ea4d-b14c-11e3-99ce-22000ad02fa9	ENG_J04HPS3VS1	هلا
29_6b61d791-ba61-11e3-a92c-12313b09a242	ENG_QRSQQXTD0F	chao moi ng
29_7785c557-bad8-11e3-a92c-12313b09a242	ENG_SYKDR3YOR5	hjggk
30_e368b75d-b9d1-11e3-a92c-12313b09a242	ENG_U84YTC33W2	hi
29_1562ea4d-b14c-11e3-99ce-22000ad02fa9	ENG_W49YTA41TZ	join us
